ID                                    SEVERITY  CATEGORIES         FINDING TYPE ID  SOURCE       
a64a622e-ee73-45da-be90-e3ed065489f4  info      api-specification  FSE017           oas-analyzer  
ff1a3aae-11fa-41e3-87f5-c3f06d1b1618  info      api-specification  FSE017           oas-analyzer  
94483355-799d-4123-92ef-627ed1c5c07a  info      api-specification  FSE017           oas-analyzer  
123154cd-8dbd-43f4-b0e9-a5b433e1a50c  info      api-specification  FST008           oas-analyzer  
be29df01-b5ff-4008-8616-f7e927b70fe7  info      api-specification  FSE017           oas-analyzer  
376fd9da-d83a-42df-bd93-7f534f192b56  info      api-specification  FSE017           oas-analyzer  
da33e3ec-ffce-484b-9429-94ad5a879f5f  info      api-specification  FSE017           oas-analyzer  
790c75ac-ac86-44c1-bc4a-f4d23011cf64  medium    api-specification  RDT002           oas-analyzer  
d9bdc4f4-1ec1-4075-a070-aa23b4b61dbc  medium    api-specification  RDT002           oas-analyzer  
3f55a036-ec52-45c6-b733-2c5781798d00  medium    api-specification  RDT002           oas-analyzer  
58713f66-454a-446b-ae37-cecf2230330c  medium    api-specification  RDT002           oas-analyzer  
59d73ee1-6ffd-4d94-b765-af7447bb1a32  medium    api-specification  RDT002           oas-analyzer  
8a5a51d0-a168-4194-b913-c89b65ad6d53  medium    api-specification  RDT003           oas-analyzer  
88fc58e1-69cb-4aeb-a6e2-14091ceb285a  medium    api-specification  RDT004           oas-analyzer  
c13ad1c0-3f41-4c36-9f0b-d3d47af14385  medium    api-specification  RDT005           oas-analyzer  
3e58c33c-bc9a-4e89-8f51-282229d9c27b  medium    api-specification  RDT005           oas-analyzer  
1f0ac2f2-8343-45cb-a02b-2b81bcf0d41f  medium    api-specification  RDT005           oas-analyzer  
f56bcac0-9187-4a64-9d02-32d7d2f647ee  medium    api-specification  RDT005           oas-analyzer  
7dda4e30-7dd1-4521-839a-035923f1cef7  medium    api-specification  RDT005           oas-analyzer  
a44750de-d62f-4a3d-aa9c-d85e9f3cea8e  medium    api-specification  RDT006           oas-analyzer  
95b21d51-9a3d-48a1-8725-d7c0f2ddb9b0  medium    api-specification  RDT006           oas-analyzer  
0f0f8fbe-d4b5-4ea8-b7ab-e1ae390b628f  medium    api-specification  RDT006           oas-analyzer  
75c86ac3-96b5-4819-a899-1b5adc665937  medium    api-specification  RDT006           oas-analyzer  
02eb508c-d6dd-42ca-b7b8-2b0a50b2f19b  medium    api-specification  RDT006           oas-analyzer  
6598eac1-2718-4064-a0f6-4e87e8b940d3  medium    api-specification  RDT015           oas-analyzer  
ac68939c-16ff-49b2-83ad-85d07a66292b  medium    api-specification  RDT015           oas-analyzer  
0303a49e-a4fa-4530-aca1-6514db0bf908  medium    api-specification  RDT015           oas-analyzer  
fc35cd0f-207c-4d70-afa7-13409a84d58a  medium    api-specification  RDT015           oas-analyzer  
94ac5cdc-f848-4d74-8203-172aa33befd6  medium    api-specification  RDT015           oas-analyzer  
4e453cef-923c-4bbe-9585-753ea15adba8  critical  api-specification  SAN001           oas-analyzer  
9fb5bab5-487f-4d60-bcfe-2e0a1bf0c3ad  critical  api-specification  SAN001           oas-analyzer  
ddce3d0d-7302-406e-ab8f-a54bcecddfb0  critical  api-specification  SAN001           oas-analyzer  
f2b78b85-a6f5-4453-b3b1-dedc0e0ab557  critical  api-specification  SAN001           oas-analyzer  
ac8547fc-3616-49eb-98ba-a01ba7285cc2  critical  api-specification  SAN001           oas-analyzer  
107a720b-b8e3-48c7-a409-c9e9c07cae83  info      api-specification  FBP001           oas-analyzer  
